file,src,t0,t1,dur,status,speaker_basis,stem_margin_db,utterance_ids,speaker_decisions,visual_label_ids,text,sha256
quarantine/src_01_11.74-17.46.wav,src_01,11.74,17.46,5.72,quarantine,visual_confirmed,9.93,23;62,confirmed_target;confirmed_target,23;62,我要减肥肥，我要变瘦瘦。😊 / 小狗把小鸡给我架起来。😡,f0414395ec9233c2df883b38dd0687dc1eb8de1b3b0b7add090d4b0eec7302b1
quarantine/src_03_2.92-7.22.wav,src_03,2.92,7.22,4.30,quarantine,calibrated_audio,14.19,13;56,auto_accept;auto_accept,,你说那是保力奴小七。😡 / 你怎么被冻住了？😡,33456e8ab03fff30c48bc90f853c11e2f07009e20ea88a2a4af208ba0eff074b
quarantine/src_03_40.24-44.30.wav,src_03,40.24,44.30,4.06,quarantine,calibrated_audio,9.30,70;79,auto_accept;auto_accept,,啊我要弄个。😊 / 豆豆。,a7459769fa772fa4fbad1e11a478164d0224be6a35d1b28d95ee97e80f33abd3
accepted/src_04_11.94-16.76.wav,src_04,11.94,16.76,4.82,accepted,visual_confirmed,23.44,6,confirmed_target,6,确实很像，你是不是饿了？😡,a0637b1fcd4a16891e79a4e91a5737510a2bc9494d7bae619903968562dadd04
accepted/src_05_3.54-7.70.wav,src_05,3.54,7.70,4.16,accepted,visual_confirmed,19.27,38;47,confirmed_target;confirmed_target,38;47,小七，你给我做的。😡 / 怎么跟没血染一样啊？😡,a4abb91834a542c43d1fa4e338ef9b6f016ad7cc722d5bf2d896a03802d48c34
quarantine/src_05_22.58-27.80.wav,src_05,22.58,27.80,5.22,quarantine,visual_confirmed,12.39,65,confirmed_target,65,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮,5523c75bcb983b8e2407a4b9600ab185e1de90516988311dc8689b6e2cf29de1
quarantine/src_06_14.22-23.94.wav,src_06,14.22,23.94,9.72,quarantine,visual_confirmed,14.71,53;72,confirmed_target;confirmed_target,53;72,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡 / 嗯，哎呀。,ce41fd45bcda554f2df2e36752702d6bdcc3f4a94dee333ab038dabb9379b8ae
quarantine/src_07_0.20-4.12.wav,src_07,0.20,4.12,3.92,quarantine,calibrated_audio,7.80,66;49,auto_accept;auto_accept,,我是奶龙，我这是奶龙。😡 / 你会不合？😡,5715ec9b3c7db6587663318bebe0416103b2de5b098155f01d65af84d3e30233
accepted/src_07_8.12-15.14.wav,src_07,8.12,15.14,7.02,accepted,calibrated_audio,34.64,73;17;67,auto_accept;auto_accept;auto_accept,,我还会变身呢。 / 嗯。 / 可恶，你居然都会。😡,366dc4e2c4f7ec202e22edf234ae5cbd9fba3a4d0023bcb3961c0b70443db212
quarantine/src_08_13.92-18.96.wav,src_08,13.92,18.96,5.04,quarantine,calibrated_audio,10.98,18,auto_accept,,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊,084eb7e2c630c97d1c5554cb833aef352b8ae0dda835c12d25a9235b8488c16e
quarantine/src_09_2.12-5.22.wav,src_09,2.12,5.22,3.10,quarantine,calibrated_audio,12.79,60,auto_accept,,小珍猪精啊，怎么这么凶啊？😮,0d1135d883346a7b7b6cd25a97d36256c92a3f47f7b7b83ee00fc3b4d543d588
accepted/src_10_31.84-39.66.wav,src_10,31.84,39.66,7.82,accepted,calibrated_audio,20.80,90;91,auto_accept;auto_accept,,啊呜呜呜呜呜小宝，你对我真好，那是他点的。😡 / 那也不点多点啊。😡,8af206279f59949464ee36011d9450b3d661f62b77422ecff247131e82f73e7a
quarantine/src_11_3.18-12.32.wav,src_11,3.18,12.32,9.14,quarantine,calibrated_audio,7.96,94;95;96,auto_accept;auto_accept;auto_accept,,这姐就不要题。😊 / 我你这一再看他你不胖都不平嗯。😊 / 去我没。,07981da5b1c747ce6eda6e18e962e9ebcf0897ef42786d9e0a4bdea5a5a791ff
quarantine/src_12_7.12-12.26.wav,src_12,7.12,12.26,5.14,quarantine,calibrated_audio,8.75,110;111,auto_accept;auto_accept,,嗯，你真诚实啊。 / 那我拿这两个跟你换吧。😡,1bc07ef17dd730ed01c1e417e7f32e5dc95f1616d7731eac003cb132f1f1f05e
quarantine/src_12_17.20-21.72.wav,src_12,17.20,21.72,4.52,quarantine,calibrated_audio,14.04,113;114,auto_accept;auto_accept,,给你对意喏。😡 / 这是无价的。嗯嗯，你不要禁止不去吃吸。😡,7a8c8d6f15a05bbfa440a0cdd6b3853deda57aa7c8d98a2d745f05bf50b8ff84
accepted/src_13_28.38-32.96.wav,src_13,28.38,32.96,4.58,accepted,calibrated_audio,20.85,126,auto_accept,,是我去，不是你去。😡,c9d0bbef1e3e6b0cc6d9d9ee6e439840fea1813126429ebd5f7fb8311d4f03cb
quarantine/src_14_46.32-52.12.wav,src_14,46.32,52.12,5.80,quarantine,calibrated_audio,11.13,138;139;140,auto_accept;auto_accept;auto_accept,,去到底是谁？😡 / 下这么狠的毒手。😡 / 都住。,cb34ae762b71617d71bc345aadc45644f2c97aac037e6da21e393d14bcbbee41
quarantine/src_15_15.56-19.86.wav,src_15,15.56,19.86,4.30,quarantine,calibrated_audio,8.88,150;151;152,auto_accept;auto_accept;auto_accept,,嗯，看吧。 / 我的眼睛就是池。😡 / 这个长的给你吧。😡,27bfcf6b90a80237ab0595e92fa995cca0e5d48ea05c834818d57b4eb1cab74b
